label,name,notice,furigana
粗大ごみ,アームスタンド（電気スタンド）,30cm角程度より小さいものは燃やせないごみ,あ
燃やせるごみ,アイスクリームの棒木製,,あ
燃やせないごみ,アイスクリームの棒プラスチック製,,あ
燃やせるごみ,アイスクリームの容器・ふた紙製,リサイクルが困難なため,あ
プラスチック製容器包装,アイスクリームの容器・ふたプラスチック製,,あ
燃やせないごみ,アイスノン,,あ
燃やせないごみ,アイスピック,危険のないように新聞紙等で包む。,あ
粗大ごみ,アイロン,,あ
粗大ごみ,アイロン台,,あ
プラスチック製容器包装,アイロン用のり容器プラスチック製,必ず中身を使い切って、汚れを落とす。,あ
燃やせないごみ,垢すりナイロン製,,あ
燃やせるごみ,垢すり布製,,あ
缶・びん・ペットボトル,あき缶アルミ・スチール製,飲・食品用,あ
燃やせないごみ,あき缶,飲・食品用以外,あ
缶・びん・ペットボトル,あきびんびん,飲・食品用,あ
燃やせないごみ,あきびん,飲・食品用以外,あ
粗大ごみ,アコーディオン（楽器）,,あ
粗大ごみ,アコーディオンカーテン,,あ
燃やせるごみ,足拭きマット布製,45リットルのごみ袋に入らないものは粗大ごみ,あ
燃やせないごみ,足拭きマットプラスチック製（屋外用等）,,あ
燃やせないごみ,アタッシュケース革・金属製,手提げカバン　45リットルのごみ袋に入らないものは粗大ごみ,あ
燃やせないごみ,アダプター,,あ
雑誌・ダンボール・紙パック,厚紙,,あ
燃やせないごみ,圧力鍋,30cm角程度より大きいものは粗大ごみ,あ
燃やせるごみ,油（食用油）,ボロ布などにしみこませるか、凝固剤を使用。地域で廃油回収を行っているところはご協力をお願いします。,あ
燃やせるごみ,油紙,リサイクルが困難なため,あ
燃やせないごみ,油こし容器,,あ
燃やせるごみ,油取り紙,リサイクルが困難なため,あ
燃やせるごみ,油の凝固剤,,あ
缶・びん・ペットボトル,油の容器缶・びん,必ず中身を使い切って、汚れを落とす。,あ
プラスチック製容器包装,油の容器プラスチック製,,あ
燃やせないごみ,雨カッパビニール製,,あ
粗大ごみ,雨どい,日曜大工で出たものに限る。,あ
燃やせないごみ,網ナイロン・金属製等,45リットルのごみ袋に入らないものは粗大ごみ,あ
粗大ごみ,編み機,,あ
粗大ごみ,網戸,日曜大工で出たものに限る。,あ
燃やせないごみ,網戸の網ビニール製,,あ
燃やせないごみ,編み針金属製,紙などに包む。,あ
燃やせるごみ,編み針竹製,,あ
燃やせるごみ,飴の包装紙製,リサイクルが困難なため,あ
プラスチック製容器包装,飴の包装プラスチック製,,あ
有害ごみ,アルカリ電池,市役所・支所の回収箱に入れるか、粗大ごみを出すときに透明のポリ袋に入れて出してください。,あ
燃やせるごみ,アルバム紙製,金属、プラスチック、ビニール（フィルム）をはずす。リサイクルが困難なため。,あ
プラスチック製容器包装,アルミコーティング袋（レトルト食品用）,汚れのとれないものは燃やせないごみ,あ
燃やせないごみ,アルミトレイ,,あ
燃やせないごみ,アルミ鍋,30cm角程度より大きいものは粗大ごみ,あ
燃やせないごみ,アルミ箔鍋,,あ
市で処理できない,アルミホイール（車両用）,販売店・専門の処理業者に相談するか、引取りを依頼してください。産業廃棄物の処理については、県環境指導課（電話：088-621-2269）へお問い合わせください。,あ
燃やせないごみ,アルミホイル（調理用）,,あ
雑誌・ダンボール・紙パック,アルミホイルの芯紙製,,あ
燃やせないごみ,泡立て器（電気式）,電池は外す。,あ
燃やせないごみ,泡立て器,,あ
燃やせないごみ,あんか,,あ
燃やせないごみ,アンクレット,,あ
燃やせないごみ,安全靴,,あ
燃やせないごみ,安全ピン,危険のないように新聞紙等で包む。,あ
粗大ごみ,アンテナ（FM用、BS用、テレビ用）,,あ
粗大ごみ,アンプ,30cm角程度より小さいものは燃やせないごみ,あ
粗大ごみ,あんま機,30cm角程度より小さいものは燃やせないごみ,あ
粗大ごみ,イーゼル,,い
燃やせるごみ,生け花,,い
市で処理できない,石,販売店・建設業者・処理業者にご相談するか、引取りを依頼してください。,い
粗大ごみ,衣装ケース,,い
粗大ごみ,いす木・金属製,2人掛け以上のものは1脚で1個扱い。1人掛けは2脚で1個扱い。,い
燃やせるごみ,板切れ,30cm角程度より大きいものは粗大ごみ。上限は1m50cmまで,い
